run_id,path,filename,ext,file_type,size_bytes,created,last_modified,last_accessed,sha1,extraction_status,skipped_reason
d0b5646e-237b-4fab-8cae-ccc17c5495fb,/Users/vamsi_mure/Documents/mcp_ai-v2/mcp_ai/input_files/SampleFiles/Company dataset - pdfs/CompanyDocuments/invoices/invoice_10670.pdf,invoice_10670.pdf,.pdf,application/pdf,2150,2024-05-23T12:43:08+00:00,2024-05-23T12:43:08+00:00,2025-08-17T08:52:48.203055+00:00,961d3863cc459c7228c427f2f8c1d3519133fdfd,ok,
d0b5646e-237b-4fab-8cae-ccc17c5495fb,/Users/vamsi_mure/Documents/mcp_ai-v2/mcp_ai/input_files/SampleFiles/Company dataset - pdfs/CompanyDocuments/invoices/invoice_10843.pdf,invoice_10843.pdf,.pdf,application/pdf,1935,2024-05-23T12:43:08+00:00,2024-05-23T12:43:08+00:00,2025-08-17T08:52:48.297296+00:00,98a9d6dd0f7e1fa45631657b74b9688e81055f71,ok,
d0b5646e-237b-4fab-8cae-ccc17c5495fb,/Users/vamsi_mure/Documents/mcp_ai-v2/mcp_ai/input_files/SampleFiles/Company dataset - pdfs/CompanyDocuments/invoices/invoice_10857.pdf,invoice_10857.pdf,.pdf,application/pdf,2065,2024-05-23T12:43:08+00:00,2024-05-23T12:43:08+00:00,2025-08-17T08:52:48.411169+00:00,f8f0c90a8ec4d5aca48c05c4bbbf4e4809fab380,ok,
d0b5646e-237b-4fab-8cae-ccc17c5495fb,/Users/vamsi_mure/Documents/mcp_ai-v2/mcp_ai/input_files/SampleFiles/Company dataset - pdfs/CompanyDocuments/invoices/invoice_11022.pdf,invoice_11022.pdf,.pdf,application/pdf,2013,2024-05-23T12:43:08+00:00,2024-05-23T12:43:08+00:00,2025-08-17T08:52:48.441411+00:00,9c6adedaf7055149f358b0c9d172fd8ded37fd7d,ok,
d0b5646e-237b-4fab-8cae-ccc17c5495fb,/Users/vamsi_mure/Documents/mcp_ai-v2/mcp_ai/input_files/SampleFiles/Company dataset - pdfs/CompanyDocuments/invoices/invoice_11036.pdf,invoice_11036.pdf,.pdf,application/pdf,1981,2024-05-23T12:43:08+00:00,2024-05-23T12:43:08+00:00,2025-08-17T08:52:48.426828+00:00,a7b01da085d4b9914d9418ff7669f9ce132f3693,ok,
d0b5646e-237b-4fab-8cae-ccc17c5495fb,/Users/vamsi_mure/Documents/mcp_ai-v2/mcp_ai/input_files/SampleFiles/Company dataset - pdfs/CompanyDocuments/invoices/invoice_10328.pdf,invoice_10328.pdf,.pdf,application/pdf,2071,2024-05-23T12:43:08+00:00,2024-05-23T12:43:08+00:00,2025-08-17T08:52:48.394154+00:00,7c9924f1a16ed4a7dfd4cc5c70dfba7b7487d209,ok,
d0b5646e-237b-4fab-8cae-ccc17c5495fb,/Users/vamsi_mure/Documents/mcp_ai-v2/mcp_ai/input_files/SampleFiles/Company dataset - pdfs/CompanyDocuments/invoices/invoice_10300.pdf,invoice_10300.pdf,.pdf,application/pdf,2007,2024-05-23T12:43:08+00:00,2024-05-23T12:43:08+00:00,2025-08-17T08:52:48.522260+00:00,dd30faa12d4ed6b93edba3f0049383350e229de3,ok,
d0b5646e-237b-4fab-8cae-ccc17c5495fb,/Users/vamsi_mure/Documents/mcp_ai-v2/mcp_ai/input_files/SampleFiles/Company dataset - pdfs/CompanyDocuments/invoices/invoice_10466.pdf,invoice_10466.pdf,.pdf,application/pdf,1995,2024-05-23T12:43:08+00:00,2024-05-23T12:43:08+00:00,2025-08-17T08:52:48.470382+00:00,ff4ce2f9ddfee179fe0f6ecc48689bb3cba2f4c3,ok,
d0b5646e-237b-4fab-8cae-ccc17c5495fb,/Users/vamsi_mure/Documents/mcp_ai-v2/mcp_ai/input_files/SampleFiles/Company dataset - pdfs/CompanyDocuments/invoices/invoice_10472.pdf,invoice_10472.pdf,.pdf,application/pdf,2008,2024-05-23T12:43:08+00:00,2024-05-23T12:43:08+00:00,2025-08-17T08:52:48.455875+00:00,1e4be6ba6978108c26120776c9cd5e2243fc8d58,ok,
d0b5646e-237b-4fab-8cae-ccc17c5495fb,/Users/vamsi_mure/Documents/mcp_ai-v2/mcp_ai/input_files/SampleFiles/Company dataset - pdfs/CompanyDocuments/invoices/invoice_10314.pdf,invoice_10314.pdf,.pdf,application/pdf,2054,2024-05-23T12:43:08+00:00,2024-05-23T12:43:08+00:00,2025-08-17T08:52:48.487841+00:00,c6d8939f19899f56273b78873e0c6a01ba0e6c59,ok,
