run_id,path,filename,ext,file_type,size_bytes,created,last_modified,last_accessed,sha1,extraction_status,skipped_reason
dd76a245-1806-4c66-9f13-3512ef19dc16,/Users/vamsi_mure/Documents/mcp_ai-v2/mcp_ai/input_files/SampleFiles/Company dataset - pdfs/CompanyDocuments/invoices/invoice_10248.pdf,invoice_10248.pdf,.pdf,application/pdf,2052,2024-05-23T12:43:08+00:00,2024-05-23T12:43:08+00:00,2025-08-17T20:24:39.976454+00:00,3926299043221aec1b9681218ac6658d45e2d428,ok,
dd76a245-1806-4c66-9f13-3512ef19dc16,/Users/vamsi_mure/Documents/mcp_ai-v2/mcp_ai/input_files/SampleFiles/Company dataset - pdfs/CompanyDocuments/invoices/invoice_10274.pdf,invoice_10274.pdf,.pdf,application/pdf,1987,2024-05-23T12:43:08+00:00,2024-05-23T12:43:08+00:00,2025-08-17T20:24:40.002664+00:00,988558f9bcebf89e36a477b94e30485416e0d7f7,ok,
dd76a245-1806-4c66-9f13-3512ef19dc16,/Users/vamsi_mure/Documents/mcp_ai-v2/mcp_ai/input_files/SampleFiles/Company dataset - pdfs/CompanyDocuments/invoices/invoice_10512.pdf,invoice_10512.pdf,.pdf,application/pdf,2102,2024-05-23T12:43:08+00:00,2024-05-23T12:43:08+00:00,2025-08-17T20:24:40.027673+00:00,1438df61b9ec6f4b2573d3f20ffdb60993f44e2b,ok,
