run_id,path,filename,ext,file_type,size_bytes,created,last_modified,last_accessed,sha1,extraction_status,skipped_reason
a7e07b77-1a36-410a-a29b-249f9c5ea183,/Users/vamsi_mure/Documents/mcp_ai-v2/mcp_ai/input_files/SampleFiles/Screenshots.zip,Screenshots.zip,.zip,application/zip,897995,2025-08-13T21:54:56.382872+00:00,2025-08-01T14:03:46+00:00,2025-08-01T14:03:46+00:00,4a06a5c08fd11263b3ff0b37949cf5be12547c21,,
a7e07b77-1a36-410a-a29b-249f9c5ea183,/Users/vamsi_mure/Documents/mcp_ai-v2/mcp_ai/input_files/SampleFiles/.DS_Store,.DS_Store,,application/octet-stream,6148,2025-08-13T21:54:56.408294+00:00,2025-08-04T05:29:08.486064+00:00,2025-08-06T22:35:05.644492+00:00,a1e401828db50ce36bb0a7cd2464a72b41aa96e5,metadata_only,system_artifact
a7e07b77-1a36-410a-a29b-249f9c5ea183,/Users/vamsi_mure/Documents/mcp_ai-v2/mcp_ai/input_files/SampleFiles/shoe sizes.pdf,shoe sizes.pdf,.pdf,application/pdf,24052,2025-08-13T21:54:56.413931+00:00,2025-08-01T13:42:32+00:00,2025-08-13T21:54:57.060059+00:00,5572bdffcb023d80bbf29ec19e3e8dba6f6c6206,,
a7e07b77-1a36-410a-a29b-249f9c5ea183,/Users/vamsi_mure/Documents/mcp_ai-v2/mcp_ai/input_files/SampleFiles/Unrivaled_Team_Wear_Assessment_V1.1.pptx,Unrivaled_Team_Wear_Assessment_V1.1.pptx,.pptx,application/vnd.openxmlformats-officedocument.presentationml.presentation,27837969,2025-08-13T21:54:56.643617+00:00,2025-08-01T13:44:30+00:00,2025-08-04T05:10:07.879492+00:00,3c81a800ff8e23ac91a0842ff981fd294b11950a,,
a7e07b77-1a36-410a-a29b-249f9c5ea183,/Users/vamsi_mure/Documents/mcp_ai-v2/mcp_ai/input_files/SampleFiles/SampleCatalogData_load.xlsx,SampleCatalogData_load.xlsx,.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,9791,2025-08-13T21:54:56.648201+00:00,2025-08-01T13:42:32+00:00,2025-08-04T05:10:07.877621+00:00,cc71ab13c1c436b6186d2e02276965509bf8f15b,,
a7e07b77-1a36-410a-a29b-249f9c5ea183,/Users/vamsi_mure/Documents/mcp_ai-v2/mcp_ai/input_files/SampleFiles/DataLoad.txt,DataLoad.txt,.txt,text/csv,436,2025-08-13T21:54:56.649615+00:00,2025-08-01T13:42:32+00:00,2025-08-14T12:48:58.114279+00:00,27d57a81595e300873fd69129697039f06cf6487,,
a7e07b77-1a36-410a-a29b-249f9c5ea183,/Users/vamsi_mure/Documents/mcp_ai-v2/mcp_ai/input_files/SampleFiles/Assessment_Questionnaire_v1.1.xlsx,Assessment_Questionnaire_v1.1.xlsx,.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,14448,2025-08-13T21:54:56.906575+00:00,2025-08-01T13:44:44+00:00,2025-08-04T05:10:07.870487+00:00,113573118cfd65797e214a53ce637a54db59aad0,,
a7e07b77-1a36-410a-a29b-249f9c5ea183,/Users/vamsi_mure/Documents/mcp_ai-v2/mcp_ai/input_files/SampleFiles/Voice_chat.docx,Voice_chat.docx,.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,162398,2025-08-13T21:54:56.948474+00:00,2025-08-01T13:42:32+00:00,2025-08-04T05:10:07.880670+00:00,7388d78dde8a0464cae7a22763bd29be390568a0,,
a7e07b77-1a36-410a-a29b-249f9c5ea183,/Users/vamsi_mure/Documents/mcp_ai-v2/mcp_ai/input_files/SampleFiles/Screenshots/Screenshot 2025-07-25 075255.png,Screenshot 2025-07-25 075255.png,.png,image/png,359263,2025-08-13T21:54:56.384925+00:00,2025-07-25T12:52:55+00:00,2025-08-14T05:32:57.468226+00:00,56fa1ddf609d9d02508e6dc86a3142e5fa8b6137,,
a7e07b77-1a36-410a-a29b-249f9c5ea183,/Users/vamsi_mure/Documents/mcp_ai-v2/mcp_ai/input_files/SampleFiles/Screenshots/Screenshot 2025-07-30 202355.png,Screenshot 2025-07-30 202355.png,.png,image/png,43504,2025-08-13T21:54:56.389816+00:00,2025-07-31T01:23:55+00:00,2025-08-14T05:32:57.468227+00:00,a482a9c3a5f78ceda80c025041ab17e818ea1f52,,
a7e07b77-1a36-410a-a29b-249f9c5ea183,/Users/vamsi_mure/Documents/mcp_ai-v2/mcp_ai/input_files/SampleFiles/Screenshots/Screenshot 2025-07-03 110017.png,Screenshot 2025-07-03 110017.png,.png,image/png,374696,2025-08-13T21:54:56.394867+00:00,2025-07-03T16:00:17+00:00,2025-08-14T05:32:57.477707+00:00,6f55579f3927de5a1b993cb5b890fa2a0ba1aef6,,
a7e07b77-1a36-410a-a29b-249f9c5ea183,/Users/vamsi_mure/Documents/mcp_ai-v2/mcp_ai/input_files/SampleFiles/Screenshots/desktop.ini,desktop.ini,.ini,text/plain,190,2025-08-13T21:54:56.396222+00:00,2025-07-03T16:00:17+00:00,2025-08-13T21:54:56.776493+00:00,98ea337d2e461aca1b460a417ac6067fc54a51c6,,
a7e07b77-1a36-410a-a29b-249f9c5ea183,/Users/vamsi_mure/Documents/mcp_ai-v2/mcp_ai/input_files/SampleFiles/Screenshots/Screenshot 2025-07-21 095659.png,Screenshot 2025-07-21 095659.png,.png,image/png,75293,2025-08-13T21:54:56.401328+00:00,2025-07-21T14:57:00+00:00,2025-08-14T05:32:57.468226+00:00,2d82656e02c569d599e59453d58e6a3321de36e1,,
